Departamento,ID Caso
ANTIOQUIA,17234
META,4455
SIN INFORMACION,3507
VALLE DEL CAUCA,3374
CESAR,3126
CAQUETÁ,3090
SANTANDER,3013
MAGDALENA,2929
NORTE DE SANTANDER,2510
PUTUMAYO,2496
BOLÍVAR,2262
CÓRDOBA,2178
NARIÑO,1918
GUAVIARE,1516
ARAUCA,1454
CALDAS,1405
TOLIMA,1375
CHOCÓ,1332
CAUCA,1248
CUNDINAMARCA,1204
CASANARE,1074
BOYACÁ,934
"BOGOTÁ, D.C.",915
SUCRE,795
LA GUAJIRA,690
HUILA,683
ATLÁNTICO,582
RISARALDA,570
VICHADA,301
QUINDIO,257
VAUPÉS,64
GUAINÍA,38
EXTERIOR,34
AMAZONAS,29
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4
