Departamento,Año,Mes,Dia,Sexo,Edad,Calidad de la Victima
CALDAS,2001,9,14,Mujer,17.0,Civil
CESAR,2008,1,20,Mujer,22.0,Civil
PUTUMAYO,2002,2,9,Mujer,19.0,Civil
NARINO,2013,7,23,Mujer,62.0,Civil
NARINO,2014,10,31,Mujer,16.0,Civil
CHOCO,2004,2,25,Mujer,30.0,Civil
MAGDALENA,2001,3,15,Mujer,15.0,Civil
CAUCA,2013,8,29,Mujer,31.0,Civil
ANTIOQUIA,2003,3,11,Mujer,32.0,Civil
VALLE DEL CAUCA,2005,9,10,Mujer,24.0,Civil
MAGDALENA,2001,7,8,Mujer,48.0,Civil
LA GUAJIRA,2014,5,5,Hombre,28.0,Civil
VICHADA,1989,6,15,Mujer,13.0,Civil
CORDOBA,1997,10,12,Mujer,12.0,Civil
ANTIOQUIA,1991,3,15,Mujer,13.0,Civil
NARINO,2003,8,18,Mujer,10.0,Civil
LA GUAJIRA,2015,3,12,Mujer,38.0,Civil
ANTIOQUIA,2011,11,24,Mujer,50.0,Civil
PUTUMAYO,2002,9,20,Mujer,29.0,Civil
ANTIOQUIA,1998,4,12,Hombre,37.0,Civil
GUAVIARE,2001,3,4,Mujer,15.0,Civil
BOLIVAR,2008,12,1,Mujer,20.0,Civil
PUTUMAYO,2003,2,2,Mujer,17.0,Civil
NARINO,2013,3,6,Mujer,32.0,Civil
LA GUAJIRA,2004,6,19,Mujer,11.0,Civil
MAGDALENA,2001,8,26,Mujer,28.0,Civil
ANTIOQUIA,2013,8,16,Mujer,17.0,Civil
NARINO,2010,12,18,Mujer,19.0,Civil
ANTIOQUIA,1985,2,25,Mujer,20.0,Civil
PUTUMAYO,2004,10,25,Mujer,22.0,Civil
NORTE DE SANTANDER,2000,12,16,Mujer,12.0,Civil
ANTIOQUIA,2006,8,23,Mujer,18.0,Civil
CESAR,2002,8,1,Mujer,21.0,Civil
MAGDALENA,2003,8,12,Mujer,33.0,Civil
LA GUAJIRA,2001,4,25,Mujer,23.0,Civil
SUCRE,2007,5,21,Mujer,23.0,Civil
CORDOBA,2002,8,14,Hombre,29.0,Civil
ANTIOQUIA,2003,5,18,Mujer,43.0,Civil
CAQUETA,2003,8,25,Mujer,21.0,Civil
CUNDINAMARCA,1999,4,27,Mujer,32.0,Civil
"BOGOTA, D.C.",2004,1,24,Mujer,33.0,Civil
CAQUETA,2015,11,10,Hombre,29.0,Civil
ANTIOQUIA,2005,11,5,Mujer,27.0,Civil
NARINO,2003,7,24,Mujer,22.0,Civil
CHOCO,2012,6,23,Mujer,19.0,Civil
ANTIOQUIA,2001,1,4,Mujer,10.0,Civil
ANTIOQUIA,1987,12,14,Mujer,11.0,Civil
NARINO,1996,10,5,Mujer,34.0,Civil
ANTIOQUIA,2002,4,16,Mujer,32.0,Civil
SANTANDER,1989,2,12,Mujer,20.0,Civil
PUTUMAYO,2006,1,27,Mujer,29.0,Civil
CAUCA,2000,7,25,Mujer,16.0,Civil
CAUCA,1996,4,1,Mujer,17.0,Civil
SUCRE,2002,1,1,Mujer,10.0,Civil
TOLIMA,2005,12,23,Mujer,27.0,Civil
MAGDALENA,2004,3,15,Mujer,34.0,Civil
TOLIMA,2011,3,16,Mujer,23.0,Civil
CAQUETA,2002,12,16,Mujer,12.0,Civil
ANTIOQUIA,1995,7,1,Mujer,34.0,Civil
MAGDALENA,2003,11,29,Mujer,23.0,Civil
PUTUMAYO,1999,1,9,Mujer,26.0,Civil
BOLIVAR,2003,3,18,Mujer,18.0,Civil
PUTUMAYO,2004,8,28,Mujer,23.0,Civil
PUTUMAYO,2001,7,28,Mujer,37.0,Civil
CAQUETA,2001,1,15,Mujer,16.0,Civil
GUAVIARE,2011,11,6,Mujer,36.0,Civil
MAGDALENA,2001,9,1,Mujer,17.0,Civil
NARINO,2006,1,1,Mujer,17.0,Civil
ANTIOQUIA,2014,3,10,Mujer,28.0,Civil
PUTUMAYO,2003,6,1,Mujer,12.0,Civil
SIN INFORMACION,2015,2,19,Mujer,19.0,Civil
CAUCA,2002,2,18,Mujer,33.0,Civil
CAUCA,2012,8,1,Mujer,18.0,Civil
ANTIOQUIA,2000,6,15,Mujer,44.0,Civil
CAQUETA,1987,8,13,Mujer,40.0,Civil
ARAUCA,2003,10,14,Mujer,37.0,Civil
VALLE DEL CAUCA,2011,9,23,Mujer,17.0,Civil
HUILA,2014,10,3,Mujer,43.0,Civil
GUAVIARE,2005,1,6,Mujer,32.0,Civil
CESAR,2003,9,3,Mujer,28.0,Civil
BOLIVAR,2003,11,20,Mujer,15.0,Civil
NORTE DE SANTANDER,2014,11,25,Mujer,43.0,Civil
CORDOBA,2003,1,1,Mujer,18.0,Civil
MAGDALENA,1998,2,17,Mujer,37.0,Civil
CAUCA,2002,10,15,Mujer,15.0,Civil
CESAR,2001,9,23,Mujer,15.0,Civil
NARINO,2015,2,3,Mujer,53.0,Civil
BOLIVAR,2000,4,25,Mujer,10.0,Civil
PUTUMAYO,2008,9,14,Mujer,20.0,Civil
RISARALDA,2000,4,8,Mujer,18.0,Civil
MAGDALENA,2002,5,21,Mujer,30.0,Civil
CAQUETA,2001,9,22,Mujer,18.0,Civil
CUNDINAMARCA,1996,1,1,Mujer,12.0,Civil
NARINO,2013,12,11,Mujer,30.0,Civil
CUNDINAMARCA,1998,10,1,Mujer,20.0,Civil
ANTIOQUIA,2007,1,11,Mujer,27.0,Civil
VALLE DEL CAUCA,2006,2,27,Mujer,17.0,Civil
RISARALDA,2002,3,1,Mujer,7.0,Civil
SANTANDER,2000,1,20,Mujer,16.0,Civil
VALLE DEL CAUCA,2002,4,21,Hombre,22.0,Civil
MAGDALENA,2003,11,11,Mujer,20.0,Civil
SANTANDER,1995,10,9,Hombre,20.0,Civil
ANTIOQUIA,1996,1,16,Mujer,20.0,Civil
CAUCA,2001,11,1,Mujer,9.0,Civil
ARAUCA,1995,1,29,Mujer,23.0,Civil
BOLIVAR,2014,2,9,Mujer,23.0,Civil
CHOCO,2005,10,28,Mujer,19.0,Civil
ANTIOQUIA,2004,8,10,Mujer,22.0,Civil
MAGDALENA,2002,1,1,Mujer,18.0,Civil
CESAR,2005,3,8,Hombre,17.0,Civil
CAUCA,1998,7,9,Mujer,15.0,Civil
CORDOBA,2002,4,26,Mujer,26.0,Civil
MAGDALENA,2005,11,11,Mujer,22.0,Civil
BOLIVAR,2003,9,30,Mujer,14.0,Civil
CESAR,2007,5,28,Hombre,28.0,Civil
ANTIOQUIA,2002,7,1,Mujer,42.0,Civil
ARAUCA,1998,7,27,Mujer,18.0,Civil
ANTIOQUIA,2004,7,26,Mujer,26.0,Civil
ANTIOQUIA,1991,11,27,Mujer,49.0,Civil
CESAR,1998,2,17,Mujer,16.0,Civil
GUAVIARE,1993,1,1,Mujer,31.0,Civil
PUTUMAYO,1988,1,1,Mujer,20.0,Civil
ANTIOQUIA,2000,6,26,Mujer,16.0,Civil
VALLE DEL CAUCA,2013,10,6,Mujer,9.0,Civil
NORTE DE SANTANDER,1999,5,16,Mujer,22.0,Civil
NORTE DE SANTANDER,1998,1,10,Mujer,21.0,Civil
BOLIVAR,2006,9,12,Mujer,34.0,Civil
MAGDALENA,2001,1,10,Mujer,16.0,Civil
ANTIOQUIA,1987,4,20,Mujer,29.0,Civil
CHOCO,2009,8,3,Mujer,36.0,Civil
CESAR,2000,1,14,Mujer,26.0,Civil
SIN INFORMACION,0,0,0,Mujer,15.0,Civil
ANTIOQUIA,2001,12,15,Mujer,18.0,Civil
ANTIOQUIA,2000,12,15,Mujer,18.0,Civil
META,1993,5,26,Mujer,14.0,Civil
ANTIOQUIA,2011,5,28,Mujer,1.0,Civil
NARINO,2005,8,5,Mujer,38.0,Civil
MAGDALENA,2000,1,4,Mujer,29.0,Civil
MAGDALENA,2000,2,19,Mujer,19.0,Civil
MAGDALENA,2003,1,2,Mujer,33.0,Civil
PUTUMAYO,2004,10,12,Mujer,19.0,Civil
TOLIMA,2006,2,2,Hombre,45.0,Civil
NARINO,2006,8,15,Mujer,33.0,Civil
TOLIMA,2013,5,21,Mujer,17.0,Civil
CORDOBA,1988,8,4,Mujer,28.0,Civil
